auction_id,national_id,total_auctions_participated,total_auctions_won,total_bids_history,historical_win_rate,bids_to_wins_ratio,starting_price,final_price,minimum_bid_increment,auction_duration_minutes,number_of_unique_bidders,total_bids_in_auction,bids_count_in_auction,bid_share_in_auction,avg_seconds_between_bids,first_bid_time_from_start_minutes,last_bid_time_to_end_minutes,used_minimum_increment_ratio,bid_increment_avg,aggressive_bidding_flag,early_entry_flag,late_exit_flag,won_auction_flag,suspicious_score_generation,suspicious_label
AUC_1348,1746926743,102,41,1111,0.402,27.0976,379365,423505,1000,60,5,68,7,0.1029,140.0,7.15,8.14,0.4361,2079.86,0,1,0,0,0.0565,0
AUC_1243,2824264861,104,14,403,0.1346,28.7857,1303617,1515015,2000,240,16,33,17,0.5152,113.7,77.25,7.94,0.6092,3293.9,0,0,1,1,0.3935,0
AUC_1043,2937687414,52,0,1168,0.0,1168.0,1335160,1604272,2000,120,15,192,16,0.0833,19.82,14.22,3.52,0.5556,2477.22,0,1,1,0,0.6185,0
AUC_1215,1275202420,93,25,1136,0.2688,45.44,665270,722124,1000,180,16,260,15,0.0577,253.31,23.6,64.87,0.4139,2408.19,0,0,0,1,0.2134,0
AUC_1186,1519845396,27,8,169,0.2963,21.125,437261,487317,1000,240,9,76,9,0.1184,449.16,33.59,106.5,0.3182,3485.04,0,0,0,0,0.0851,1
AUC_1385,1040700115,2,0,16,0.0,16.0,367824,437954,2000,30,3,42,6,0.1429,381.42,17.14,17.07,0.2069,7206.23,0,0,0,0,0.1826,1
AUC_1325,2233292236,96,12,760,0.125,63.3333,527095,755910,2000,60,3,11,7,0.6364,466.87,34.22,7.08,0.497,6086.11,0,0,1,0,0.3629,0
AUC_1207,1375707307,103,2,3024,0.0194,1512.0,566349,663185,1000,180,10,67,32,0.4776,21.19,24.69,14.94,0.8477,1224.27,1,0,1,0,0.99,1
AUC_1127,1256555257,125,0,1452,0.0,1452.0,890477,1008122,5000,120,4,38,30,0.7895,31.02,0.73,9.29,0.6673,9702.29,1,1,1,1,0.99,1
AUC_1190,1460218959,54,1,962,0.0185,962.0,86631,97315,2000,240,16,278,19,0.0683,35.71,53.34,16.73,0.831,2862.78,1,0,1,0,0.8051,0
AUC_1035,1307261165,42,5,354,0.119,70.8,105609,109332,20000,90,24,309,6,0.0194,700.05,24.99,54.48,0.2222,87706.62,0,0,0,0,0.245,1
AUC_1157,1072969494,62,25,124,0.4032,4.96,150235,175094,5000,60,11,90,3,0.0333,145.91,24.38,1.97,0.664,11382.71,0,0,1,0,0.2159,0
AUC_1184,1403499463,132,4,3905,0.0303,976.25,338790,473820,1000,60,7,60,34,0.5667,38.72,9.39,3.62,0.9255,1658.69,1,0,1,0,0.99,1
